1916 uprising in Hilla;‘Ākif Beg;Muhammad ‘Ali al-Qazwini
Battle of Coronel;Maximilian von Spee;Christopher Cradock
Battle of Coronel;Maximilian von Spee;John Luce (Royal Navy officer)
Battle of Courtrai (1918);King Albert I;Erich Ludendorff
Battle of Courtrai (1918);King Albert I;Crown Prince Rupprecht of Bavaria
Battle of Courtrai (1918);King Albert I;Friedrich Sixt von Armin
Battle of Courtrai (1918);King Albert I;Ferdinand von Quast
Battle of Courtrai (1918);Jean Degoutte;Erich Ludendorff
Battle of Courtrai (1918);Jean Degoutte;Crown Prince Rupprecht of Bavaria
Battle of Courtrai (1918);Jean Degoutte;Friedrich Sixt von Armin
Battle of Courtrai (1918);Jean Degoutte;Ferdinand von Quast
Battle of Courtrai (1918);Cyriaque Gillain;Erich Ludendorff
Battle of Courtrai (1918);Cyriaque Gillain;Crown Prince Rupprecht of Bavaria
Battle of Courtrai (1918);Cyriaque Gillain;Friedrich Sixt von Armin
Battle of Courtrai (1918);Cyriaque Gillain;Ferdinand von Quast
Battle of Courtrai (1918);Herbert Plumer;Erich Ludendorff
Battle of Courtrai (1918);Herbert Plumer;Crown Prince Rupprecht of Bavaria
Battle of Courtrai (1918);Herbert Plumer;Friedrich Sixt von Armin
Battle of Courtrai (1918);Herbert Plumer;Ferdinand von Quast
Battle of Ctesiphon (1915);C. V. F. Townshend;Halil Kut
Battle of Ctesiphon (1915);C. V. F. Townshend;Nur-ud Din Pasha
Battle of Cârlibaba;Karl von Pflanzer-Baltin;Lucjan Żeligowski
Battle of Cârlibaba;Emil Schultheiss;Lucjan Żeligowski
Battle of Cârlibaba;Zygmunt Zieliński (1858–1925);Lucjan Żeligowski
Battle of Cârlibaba;Marian Januszajtis-Żegota;Lucjan Żeligowski
Battle of Delville Wood;Douglas Haig;Fritz von Below
Battle of Delville Wood;Douglas Haig;Max von Gallwitz
Battle of Delville Wood;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Delville Wood;Henry Rawlinson, 1st Baron Rawlinson;Max von Gallwitz
Battle of Dilman;Tovmas Nazarbekian;Halil Kut
Battle of Dilman;Tovmas Nazarbekian;Simko Shikak
Battle of Dilman;Andranik Ozanian;Halil Kut
Battle of Dilman;Andranik Ozanian;Simko Shikak
Battle of Dinant;Henry Victor Deligny;Max von Hausen
Battle of Doberdò;Luigi Cadorna;Conrad von Hötzendorf
Battle of Doberdò;Luigi Cadorna;Svetozar Boroević
Battle of Doberdò;Settimio Piacentini;Conrad von Hötzendorf
Battle of Doberdò;Settimio Piacentini;Svetozar Boroević
Battle of Doberdò;Emanuele Filiberto, 2nd Duke of Aosta;Conrad von Hötzendorf
Battle of Doberdò;Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Battle of Dobro Pole;Louis Franchet d'Esperey;Georgi Todorov (general)
Battle of Dobro Pole;Louis Franchet d'Esperey;Friedrich von Scholtz
Battle of Dobro Pole;Živojin Mišić;Georgi Todorov (general)
Battle of Dobro Pole;Živojin Mišić;Friedrich von Scholtz
Battle of Dobro Pole;Petar Bojović;Georgi Todorov (general)
Battle of Dobro Pole;Petar Bojović;Friedrich von Scholtz
Battle of Dobro Pole;Stepa Stepanović;Georgi Todorov (general)
Battle of Dobro Pole;Stepa Stepanović;Friedrich von Scholtz
Battle of Dobro Pole;Panagiotis Gargalidis;Georgi Todorov (general)
Battle of Dobro Pole;Panagiotis Gargalidis;Friedrich von Scholtz
Battle of Dogger Bank (1915);David Beatty;Franz von Hipper
Battle of Dogger Bank (1916);Robert Raymond Hallowell-Carew;Johannes Hartog
Battle of Doiran (1916);Dimitar Geshov;Maurice Sarrail
Battle of Doiran (1917);Vladimir Vazov;George Milne
Battle of Doiran (1918);Henry Fuller Maitland Wilson;Vladimir Vazov
Battle of Doiran (1918);Henry Fuller Maitland Wilson;Stefan Nerezov
Battle of Doiran (1918);George Milne;Vladimir Vazov
Battle of Doiran (1918);George Milne;Stefan Nerezov
Battle of Dover Strait (1916);Henry G. L. Oliphant;Andreas Michelsen
Battle of Dover Strait (1917);Edward Evans, 1st Baron Mountevans;Theophil Gautier
Battle of Dragoslavele;Nicolae Petala;Curt von Morgen
Battle of Dujaila;Fenton Aylmer;Ali İhsan Sâbis
Battle of Dujaila;Fenton Aylmer;Colmar Freiherr von der Goltz
Battle of Dunajetz;Grand Duke Nicholas;Erich von Falkenhayn
Battle of Dunajetz;Grand Duke Nicholas;August von Mackensen
Battle of Dunajetz;Grand Duke Nicholas;Hans von Seeckt
Battle of Dunajetz;Nikolay Iudovich Ivanov;Erich von Falkenhayn
Battle of Dunajetz;Nikolay Iudovich Ivanov;August von Mackensen
Battle of Dunajetz;Nikolay Iudovich Ivanov;Hans von Seeckt
Battle of Durazzo (1915);Rear Admiral Bellini;Heinrich Seitz
Battle of Durazzo (1918);Osvaldo Paladini;Heinrich Pauer
Battle of Durazzo (1918);Charles P. Nelson (admiral);Heinrich Pauer
Battle of Dutumi;Paul von Lettow-Vorbeck;Jan Smuts
Battle of Dutumi;Paul von Lettow-Vorbeck;Arthur Hoskins
Battle of El Tor (1915);Mostafa Helmy;Hussein Fawzi
Battle of El Tor (1915);Mostafa Helmy;George Qandas
Battle of Erzincan;Nikolai Nikolaevich Yudenich;Hasan Izzet Pasha
Battle of Erzincan;Nikolai Nikolaevich Yudenich;Topal Osman
Battle of Erzincan;Nikolai Nikolaevich Yudenich;Wehib Pasha
Battle of Es Sinn;C. V. F. Townshend;Nur-ud Din Pasha
Battle of Festubert;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Douglas Haig;Fritz von Below
Battle of Flers–Courcelette;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Ferdinand Foch;Fritz von Below
Battle of Flers–Courcelette;Émile Fayolle;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Émile Fayolle;Fritz von Below
Battle of Flers–Courcelette;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Flers–Courcelette;Hubert Gough;Crown Prince Rupprecht of Bavaria
Battle of Flers–Courcelette;Hubert Gough;Fritz von Below
Battle of Flirey;Maurice Sarrail;Crown Prince Rupprecht of Bavaria
Battle of Flirey;Noel de Castelnau;Crown Prince Rupprecht of Bavaria
Battle of Flondar;Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Battle of Florina;Kliment Boyadzhiev;Pavle Jurišić Šturm
Battle of Funchal;Max Valentiner;Sales Henriques
Battle of Galați;Constantin Prezan;Yevgeni Iskritsky
Battle of Galați;Constantin Niculescu-Rizea;Yevgeni Iskritsky
Battle of Galați;Constantin Prezan;Dmitry Shcherbachev
Battle of Galați;Constantin Niculescu-Rizea;Dmitry Shcherbachev
Battle of Galați;Yevgeni Iskritsky;Dmitry Shcherbachev
Battle of Galicia;Nikolai Ivanov (general);Archduke Friedrich, Duke of Teschen
Battle of Galicia;Nikolai Ivanov (general);Conrad von Hötzendorf
Battle of Galicia;Nikolai Ivanov (general);Viktor Dankl von Krasnik
Battle of Galicia;Nikolai Ivanov (general);Moritz von Auffenberg
Battle of Galicia;Nikolai Ivanov (general);Rudolf von Brudermann
Battle of Galicia;Nikolai Ivanov (general);Eduard von Böhm-Ermolli
Battle of Galicia;Nikolai Ivanov (general);Hermann Kövess von Kövesshaza
Battle of Galicia;Nikolai Ivanov (general);Heinrich von Kummer (General, 1874)
Battle of Galicia;Anton Yegorovich von Saltza;Archduke Friedrich, Duke of Teschen
Battle of Galicia;Anton Yegorovich von Saltza;Conrad von Hötzendorf
Battle of Galicia;Anton Yegorovich von Saltza;Viktor Dankl von Krasnik
Battle of Galicia;Anton Yegorovich von Saltza;Moritz von Auffenberg
Battle of Galicia;Anton Yegorovich von Saltza;Rudolf von Brudermann
Battle of Galicia;Anton Yegorovich von Saltza;Eduard von Böhm-Ermolli
Battle of Galicia;Anton Yegorovich von Saltza;Hermann Kövess von Kövesshaza
Battle of Galicia;Anton Yegorovich von Saltza;Heinrich von Kummer (General, 1874)
Battle of Galicia;Aleksei Evert;Archduke Friedrich, Duke of Teschen
Battle of Galicia;Aleksei Evert;Conrad von Hötzendorf
Battle of Galicia;Aleksei Evert;Viktor Dankl von Krasnik
Battle of Galicia;Aleksei Evert;Moritz von Auffenberg
Battle of Galicia;Aleksei Evert;Rudolf von Brudermann
Battle of Galicia;Aleksei Evert;Eduard von Böhm-Ermolli
Battle of Galicia;Aleksei Evert;Hermann Kövess von Kövesshaza
Battle of Galicia;Aleksei Evert;Heinrich von Kummer (General, 1874)
Battle of Galicia;Paul von Plehwe;Archduke Friedrich, Duke of Teschen
Battle of Galicia;Paul von Plehwe;Conrad von Hötzendorf
Battle of Galicia;Paul von Plehwe;Viktor Dankl von Krasnik
Battle of Galicia;Paul von Plehwe;Moritz von Auffenberg
Battle of Galicia;Paul von Plehwe;Rudolf von Brudermann
Battle of Galicia;Paul von Plehwe;Eduard von Böhm-Ermolli
Battle of Galicia;Paul von Plehwe;Hermann Kövess von Kövesshaza
Battle of Galicia;Paul von Plehwe;Heinrich von Kummer (General, 1874)
Battle of Galicia;Nikolai Ruzsky;Archduke Friedrich, Duke of Teschen
Battle of Galicia;Nikolai Ruzsky;Conrad von Hötzendorf
Battle of Galicia;Nikolai Ruzsky;Viktor Dankl von Krasnik
Battle of Galicia;Nikolai Ruzsky;Moritz von Auffenberg
Battle of Galicia;Nikolai Ruzsky;Rudolf von Brudermann
Battle of Galicia;Nikolai Ruzsky;Eduard von Böhm-Ermolli
Battle of Galicia;Nikolai Ruzsky;Hermann Kövess von Kövesshaza
Battle of Galicia;Nikolai Ruzsky;Heinrich von Kummer (General, 1874)
Battle of Galicia;Aleksei Brusilov;Archduke Friedrich, Duke of Teschen
Battle of Galicia;Aleksei Brusilov;Conrad von Hötzendorf
Battle of Galicia;Aleksei Brusilov;Viktor Dankl von Krasnik
Battle of Galicia;Aleksei Brusilov;Moritz von Auffenberg
Battle of Galicia;Aleksei Brusilov;Rudolf von Brudermann
Battle of Galicia;Aleksei Brusilov;Eduard von Böhm-Ermolli
Battle of Galicia;Aleksei Brusilov;Hermann Kövess von Kövesshaza
Battle of Galicia;Aleksei Brusilov;Heinrich von Kummer (General, 1874)
Battle of Ginchy;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Ginchy;Douglas Haig;Max von Gallwitz
Battle of Ginchy;Douglas Haig;Fritz von Below
Battle of Ginchy;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of Ginchy;Ferdinand Foch;Max von Gallwitz
Battle of Ginchy;Ferdinand Foch;Fritz von Below
Battle of Ginchy;Émile Fayolle;Crown Prince Rupprecht of Bavaria
Battle of Ginchy;Émile Fayolle;Max von Gallwitz
Battle of Ginchy;Émile Fayolle;Fritz von Below
Battle of Ginchy;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Battle of Ginchy;Henry Rawlinson, 1st Baron Rawlinson;Max von Gallwitz
Battle of Ginchy;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Ginchy;Joseph Alfred Micheler;Crown Prince Rupprecht of Bavaria
Battle of Ginchy;Joseph Alfred Micheler;Max von Gallwitz
Battle of Ginchy;Joseph Alfred Micheler;Fritz von Below
Battle of Gnila Lipa;Nikolay Iudovich Ivanov;Rudolf von Brudermann
Battle of Gnila Lipa;Nikolay Iudovich Ivanov;Hermann Kövess von Kövesshaza
Battle of Gnila Lipa;Nikolai Ruzsky;Rudolf von Brudermann
Battle of Gnila Lipa;Nikolai Ruzsky;Hermann Kövess von Kövesshaza
Battle of Gnila Lipa;Aleksei Brusilov;Rudolf von Brudermann
Battle of Gnila Lipa;Aleksei Brusilov;Hermann Kövess von Kövesshaza
Battle of Gorizia (1916);Luigi Cadorna;Conrad von Hötzendorf
Battle of Gorizia (1916);Luigi Cadorna;Svetozar Boroević
Battle of Gorizia (1916);Luigi Capello;Conrad von Hötzendorf
Battle of Gorizia (1916);Luigi Capello;Svetozar Boroević
Battle of Gorizia (1916);Emanuele Filiberto, 2nd Duke of Aosta;Conrad von Hötzendorf
Battle of Gorizia (1916);Emanuele Filiberto, 2nd Duke of Aosta;Svetozar Boroević
Battle of Gotland;Johannes von Karpf;Mikhail Bakhirev
Battle of Goychay;Ali İhsan Sâbis;Stepan Shaumian
Battle of Goychay;Ali İhsan Sâbis;Grigory Korganov
Battle of Goychay;Ali İhsan Sâbis;Grigory Petrov (revolutionary)
Battle of Goychay;Ali İhsan Sâbis;Sergey Kirov
Battle of Goychay;Ali İhsan Sâbis;Hamazasp Srvandztyan
Battle of Goychay;Ali İhsan Sâbis;Lazar Bicherakhov
Battle of Goychay;Cemil Cahit Toydemir;Stepan Shaumian
Battle of Goychay;Cemil Cahit Toydemir;Grigory Korganov
Battle of Goychay;Cemil Cahit Toydemir;Grigory Petrov (revolutionary)
Battle of Goychay;Cemil Cahit Toydemir;Sergey Kirov
Battle of Goychay;Cemil Cahit Toydemir;Hamazasp Srvandztyan
Battle of Goychay;Cemil Cahit Toydemir;Lazar Bicherakhov
Battle of Goychay;Rüştü Pasha;Stepan Shaumian
Battle of Goychay;Rüştü Pasha;Grigory Korganov
Battle of Goychay;Rüştü Pasha;Grigory Petrov (revolutionary)
Battle of Goychay;Rüştü Pasha;Sergey Kirov
Battle of Goychay;Rüştü Pasha;Hamazasp Srvandztyan
Battle of Goychay;Rüştü Pasha;Lazar Bicherakhov
Battle of Goychay;Topal Osman;Stepan Shaumian
Battle of Goychay;Topal Osman;Grigory Korganov
Battle of Goychay;Topal Osman;Grigory Petrov (revolutionary)
Battle of Goychay;Topal Osman;Sergey Kirov
Battle of Goychay;Topal Osman;Hamazasp Srvandztyan
Battle of Goychay;Topal Osman;Lazar Bicherakhov
Battle of Goychay;Ali-Agha Shikhlinski;Stepan Shaumian
Battle of Goychay;Ali-Agha Shikhlinski;Grigory Korganov
Battle of Goychay;Ali-Agha Shikhlinski;Grigory Petrov (revolutionary)
Battle of Goychay;Ali-Agha Shikhlinski;Sergey Kirov
Battle of Goychay;Ali-Agha Shikhlinski;Hamazasp Srvandztyan
Battle of Goychay;Ali-Agha Shikhlinski;Lazar Bicherakhov
Battle of Goychay;Habib Bey Salimov;Stepan Shaumian
Battle of Goychay;Habib Bey Salimov;Grigory Korganov
Battle of Goychay;Habib Bey Salimov;Grigory Petrov (revolutionary)
Battle of Goychay;Habib Bey Salimov;Sergey Kirov
Battle of Goychay;Habib Bey Salimov;Hamazasp Srvandztyan
Battle of Goychay;Habib Bey Salimov;Lazar Bicherakhov
Battle of Goychay;Ahmad Hamdi Bey;Stepan Shaumian
Battle of Goychay;Ahmad Hamdi Bey;Grigory Korganov
Battle of Goychay;Ahmad Hamdi Bey;Grigory Petrov (revolutionary)
Battle of Goychay;Ahmad Hamdi Bey;Sergey Kirov
Battle of Goychay;Ahmad Hamdi Bey;Hamazasp Srvandztyan
Battle of Goychay;Ahmad Hamdi Bey;Lazar Bicherakhov
Battle of Grand Couronné;Noël Édouard, vicomte de Curières de Castelnau;Crown Prince Rupprecht of Bavaria
Battle of Guillemont;Douglas Haig;Crown Prince Rupprecht of Bavaria
Battle of Guillemont;Douglas Haig;Max von Gallwitz
Battle of Guillemont;Douglas Haig;Fritz von Below
Battle of Guillemont;Ferdinand Foch;Crown Prince Rupprecht of Bavaria
Battle of Guillemont;Ferdinand Foch;Max von Gallwitz
Battle of Guillemont;Ferdinand Foch;Fritz von Below
Battle of Guillemont;Henry Rawlinson, 1st Baron Rawlinson;Crown Prince Rupprecht of Bavaria
Battle of Guillemont;Henry Rawlinson, 1st Baron Rawlinson;Max von Gallwitz
Battle of Guillemont;Henry Rawlinson, 1st Baron Rawlinson;Fritz von Below
Battle of Guillemont;Émile Fayolle;Crown Prince Rupprecht of Bavaria
Battle of Guillemont;Émile Fayolle;Max von Gallwitz
Battle of Guillemont;Émile Fayolle;Fritz von Below
Battle of Gully Ravine;Aylmer Hunter-Weston;Faik Pasha
Battle of Gumbinnen;Maximilian von Prittwitz;Paul von Rennenkampf
Battle of Gumbinnen;August von Mackensen;Paul von Rennenkampf
Battle of Gurin;Derek Pawle;Captain von Crailsheim
Battle of Gurin;Derek Pawle;Adolf Schipper
Battle of Gurin;Joseph F. J. Fitzpatrick;Captain von Crailsheim
Battle of Gurin;Joseph F. J. Fitzpatrick;Adolf Schipper
Battle of Haifa (1918);Cyril Rodney Harbord;Ahmed Djemal
Battle of Haifa (1918);Cyril Rodney Harbord;Erich von Falkenhayn
Battle of Haifa (1918);Cyril Rodney Harbord;Liman von Sanders
Battle of Haifa (1918);Cyril Rodney Harbord;Friedrich Kress von Kressenstein
Battle of Haifa (1918);Dalpat Singh Shekhawat;Ahmed Djemal
Battle of Haifa (1918);Dalpat Singh Shekhawat;Erich von Falkenhayn
Battle of Haifa (1918);Dalpat Singh Shekhawat;Liman von Sanders
Battle of Haifa (1918);Dalpat Singh Shekhawat;Friedrich Kress von Kressenstein
Battle of Halen;Léon de Witte de Haelen;Georg von der Marwitz
Battle of Halen;Adolf Proost;Georg von der Marwitz
Battle of Hamel;John Monash;Georg von der Marwitz
Battle of Hamel;John Monash;Viktor Kühne
Battle of Hamel;Ewen Sinclair-Maclagan;Georg von der Marwitz
Battle of Hamel;Ewen Sinclair-Maclagan;Viktor Kühne
Battle of Hanna;Fenton Aylmer;Halil Kut
Battle of Hanna;Fenton Aylmer;Colmar Freiherr von der Goltz
Battle of Hareira and Sheria;Edmund Allenby;Erich von Falkenhayn
Battle of Hareira and Sheria;Edmund Allenby;Friedrich Kress von Kressenstein
Battle of Hareira and Sheria;Edmund Allenby;Fevzi Çakmak
Battle of Hareira and Sheria;Harry Chauvel;Erich von Falkenhayn
Battle of Hareira and Sheria;Harry Chauvel;Friedrich Kress von Kressenstein
Battle of Hareira and Sheria;Harry Chauvel;Fevzi Çakmak
Battle of Hareira and Sheria;Philip Chetwode;Erich von Falkenhayn
Battle of Hareira and Sheria;Philip Chetwode;Friedrich Kress von Kressenstein
Battle of Hareira and Sheria;Philip Chetwode;Fevzi Çakmak
Battle of Hartmannswillerkopf;Louis de Maud'huy;Hans Gaede
Battle of Havrincourt;Julian Byng;Otto von Below
Battle of Heligoland Bight (1914);David Beatty;Franz von Hipper
Battle of Heligoland Bight (1914);David Beatty;Leberecht Maass
Battle of Heligoland Bight (1914);Reginald Tyrwhitt;Franz von Hipper
Battle of Heligoland Bight (1914);Reginald Tyrwhitt;Leberecht Maass
Battle of Heligoland Bight (1914);Roger Keyes;Franz von Hipper
Battle of Heligoland Bight (1914);Roger Keyes;Leberecht Maass
Battle of Helsinki;Rüdiger von der Goltz;Fredrik Edvard Johansson
Battle of Helsinki;Rüdiger von der Goltz;Edvard Nyqvist
Battle of Helsinki;Hugo Meurer;Fredrik Edvard Johansson
Battle of Helsinki;Hugo Meurer;Edvard Nyqvist
Battle of Helsinki;Carl Voss-Schrader;Fredrik Edvard Johansson
Battle of Helsinki;Carl Voss-Schrader;Edvard Nyqvist
Battle of Herkulesfürdő;Ioan Culcer;Arthur Arz von Straussenburg
Battle of Herkulesfürdő;Ioan Culcer;Hermann von Staabs
Battle of Herkulesfürdő;Ioan Culcer;Rudolf von Fiebich-Ripke
Battle of Herkulesfürdő;Ion Dragalina;Arthur Arz von Straussenburg
Battle of Herkulesfürdő;Ion Dragalina;Hermann von Staabs
Battle of Herkulesfürdő;Ion Dragalina;Rudolf von Fiebich-Ripke
Battle of Hijla;Edmund Allenby;Cemal Mersinli
Battle of Hill 383;Luigi Cadorna;Conrad von Hötzendorf
Battle of Hill 383;Luigi Cadorna;Archduke Eugen of Austria
Battle of Hill 383;Luigi Cadorna;Svetozar Boroević
Battle of Hill 60 (Gallipoli);William Birdwood;Mustafa Kemal Atatürk
Battle of Hill 60 (Gallipoli);William Birdwood;Cevat Pasha
Battle of Hill 70;Arthur Currie;Otto von Below
Battle of Humin-Bolimów;Paul von Hindenburg;Vladimir Vasilyevich Smirnov
Battle of Humin-Bolimów;Paul von Hindenburg;Vasily Gurko
Battle of Humin-Bolimów;Paul von Hindenburg;Alexander Litvinov
Battle of Humin-Bolimów;Erich Ludendorff;Vladimir Vasilyevich Smirnov
Battle of Humin-Bolimów;Erich Ludendorff;Vasily Gurko
Battle of Humin-Bolimów;Erich Ludendorff;Alexander Litvinov
Battle of Humin-Bolimów;August von Mackensen;Vladimir Vasilyevich Smirnov
Battle of Humin-Bolimów;August von Mackensen;Vasily Gurko
Battle of Humin-Bolimów;August von Mackensen;Alexander Litvinov
Battle of Hyvinkää;Konrad Wolf;Oskari Koivula
Battle of Hyvinkää;Konrad Wolf;Topias Harju
Battle of Hyvinkää;Konrad Wolf;Jalmari Ranta
Battle of Hämeenlinna;Konrad Wolf;Tuomas Hyrskymurro
Battle of Hämeenlinna;Lothar von Brandenstein;Tuomas Hyrskymurro
Battle of Hämeenlinna;Godert von Reden;Tuomas Hyrskymurro
Battle of Hébuterne;Noël Édouard, vicomte de Curières de Castelnau;Crown Prince Rupprecht of Bavaria
Battle of Imbros;Henry Franklin Kitchener, Viscount Broome;Hubert von Rebeur-Paschwitz
Battle of Istabulat;Frederick Stanley Maude;Halil Kut
Battle of Jabassi;E. H. Gorges;Haedicke
Battle of Jaffa (1917);Edward Bulfin;Cevat Çobanlı
Battle of Jassin;Paul von Lettow-Vorbeck;Raghbir Singh Pathania
Battle of Jassin;Paul von Lettow-Vorbeck;Captain J.G.J. Hanson
Battle of Jassin;Paul von Lettow-Vorbeck;Captain J. Turner
Battle of Jerusalem;Edmund Allenby;Ahmed Djemal
Battle of Jerusalem;Edmund Allenby;Cevat Çobanlı
Battle of Jerusalem;Edmund Allenby;Ali Fuat Cebesoy
Battle of Jerusalem;Edmund Allenby;Erich von Falkenhayn
Battle of Jerusalem;Edmund Allenby;Friedrich Kress von Kressenstein
Battle of Jerusalem;Edward Bulfin;Ahmed Djemal
Battle of Jerusalem;Edward Bulfin;Cevat Çobanlı
Battle of Jerusalem;Edward Bulfin;Ali Fuat Cebesoy
Battle of Jerusalem;Edward Bulfin;Erich von Falkenhayn
Battle of Jerusalem;Edward Bulfin;Friedrich Kress von Kressenstein
